City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Maldonado,UY,75.22,clear sky,-34.6667,-54.9167,La Cimarrona
13,Sao Filipe,CV,81.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
23,Bilma,NE,75.29,clear sky,18.6853,12.9164,Expeditions Ténére voyages
63,Chake Chake,TZ,75.0,overcast clouds,-5.2459,39.7666,Hotel Archipelago
68,Puerto Madero,MX,82.6,scattered clouds,14.7208,-92.4215,Hospedaje madero
69,Salina Cruz,MX,81.1,clear sky,16.1667,-95.2,Amerik HOTEL
80,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
81,Bengkulu,ID,80.06,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
91,Kita,ML,75.65,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
94,Tonj,SS,75.7,broken clouds,7.2737,28.6822,Lakan Hotel
100,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
101,Cururupu,BR,76.75,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
119,Puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
132,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
133,Naranjal,EC,75.52,overcast clouds,-2.6667,-79.6167,Media Naranja
134,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Kost Pria
139,Labuhan,ID,82.99,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
140,Khandwa,IN,76.66,overcast clouds,21.8333,76.3333,Hotel kesar residency
141,Dapaong,TG,76.91,clear sky,10.8639,0.205,Hotel Caroli
146,Oussouye,SN,78.49,overcast clouds,12.485,-16.5469,Auberge du Routard
148,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
153,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
154,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
161,Omboue,GA,77.54,overcast clouds,-1.5746,9.2618,Hotel Olako
174,San-Pedro,CI,78.12,light rain,4.7485,-6.6363,Hotel Maria
181,Hithadhoo,MV,80.58,broken clouds,-0.6,73.0833,Scoop Guest House
184,Bogande,BF,77.59,few clouds,12.9714,-0.1436,Auberge Wendkouni
190,Manavalakurichi,IN,77.09,clear sky,8.1333,77.3,Muttom beach west
191,Trairi,BR,78.94,broken clouds,-3.2778,-39.2689,janelas do mar
195,Ayorou,NE,79.75,clear sky,14.7308,0.9174,Hotel Amenokal
203,Mana,GF,78.31,few clouds,5.6592,-53.7767,LE SAMANA
219,Puerto Castilla,HN,78.91,clear sky,16.0167,-85.9667,Jito Beach
225,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
229,Atar,MR,81.52,overcast clouds,20.5169,-13.0499,Oumou Elghoura
234,Tartagal,AR,76.96,scattered clouds,-22.5164,-63.8013,Almuñecar Hotel
245,Harlingen,US,79.2,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
251,Mayumba,GA,77.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
253,Bani,DO,75.9,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
254,Nagpur,IN,75.22,mist,21.15,79.1,Hotel Siddhartha Inn
256,Isabela,PH,86.05,broken clouds,6.7085,121.9711,Isawad Resort
268,Les Cayes,HT,75.76,overcast clouds,18.2,-73.75,Villa Orphee
271,Marsh Harbour,BS,77.09,few clouds,26.5412,-77.0636,Abaco Beach Resort
277,Mwanza,TZ,75.2,light rain,-2.5167,32.9,Gold Crest Hotel
281,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
284,Dwarka,IN,78.55,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
285,Udankudi,IN,77.18,clear sky,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
